	Likert Scale 1 for Most Unlikely to 5 for Most Likely																													
1	Age	Gender	qualification	Yearsofexperience	ROL1	ROL2	ROL3	BO1	BO2	BO3	BO4	BO1	BO6	BO7	BO8	BO9	SE1	SE2	SE3	SE4	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10
83	1	2	3	2	4	4	4	4	4	2	4	2	2	4	2	2	2	2	4	2	4	4	4	4	4	4	4	4	4	4
84	1	2	2	1	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
85	1	2	2	2	5	4	4	4	4	4	4	4	4	A	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4
86	2	1	2	3	5	4	5	5	5	4	2	4	4	4	2	4	2	2	4	4	4	2	2	4	4	4	4	4	2	2
87	2	2	3	2	4	4	2	2	2	2	2	2	1	4	4	2	2	3	4	2	4	4	3	4	4	4	5	4	4	4
88	1	2	3	2	4	4	4	5	4	4	4	4	2	5	3	4	4	4	3	4	4	4	4	4	4	4	3	4	4	4
89	1	2	3	2	2	2	1	3	2	2	2	2	2	2	2	2	2	4	2	3	3	3	3	4	4	4	4	4	4	4
90	1	2	3	2	4	2	2	4	4	4	4	2	4	3	4	2	4	3	4	2	3	2	2	3	4	4	4	3	2	2
91	2	1	3	3	2	3	3	3	3	2	3	2	2	3	2	2	3	2	2	3	3	4	3	3	4	4	3	2	3	3
92	1	2	3	2	4	2	2	4	5	4	4	3	3	4	4	1	4	3	4	2	3	3	3	3	3	3	3	3	3	3
93	2	1	3	3	5	3	4	4	3	2	2	2	1	4	3	2	5	1	5	1	3	4	3	3	3	3	3	3	3	3
94	1	1	3	2	2	5	5	4	5	3	1	3	1	5	2	1	3	2	2	1	4	3	3	3	5	5	5	5	3	5
95	1	1	2	1	4	3	4	4	3	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4
96	1	1	2	2	2	2	3	3	3	3	2	2	2	2	2	1	3	3	4	4	4	2	2	4	4	5	4	4	4	4
97	1	1	2	1	3	2	4	4	4	2	2	2	3	4	4	4	5	4	4	4	3	4	4	4	3	4	4	4	4	4
98	1	2	3	2	3	2	4	2	3	2	4	2	2	3	3	4	4	4	3	3	3	4	4	3	4	4	4	4	4	4
99	1	2	2	2	4	2	2	2	4	3	2	2	2	2	2	2	4	4	4	2	4	4	3	4	4	4	4	4	4	4
100	2	2	3	1	4	2	4	4	5	4	3	2	1	2	3	1	2	1	1	4	4	4	4	4	4	4	4	4	4	4
101	2	1	3	4	4	4	4	2	2	3	4	1	4	5	5	4	2	2	2	3	3	3	4	4	4	4	4	4	4	2
102	2	2	3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
103	1	2	1	1	5	4	3	4	4	4	2	3	3	4	4	4	4	4	2	4	3	2	2	4	4	4	3	4	3	4
104	2	1	3	4	3	2	2	4	4	3	4	4	3	3	3	2	3	4	2	3	4	4	4	4	4	3	3	3	4	3
105	2	1	3	3	5	4	3	3	3	4	3	4	3	3	4	4	4	5	4	3	4	4	3	4	4	4	3	5	4	3
106	2	1	3	4	5	4	5	4	4	4	3	3	2	4	3	1	4	4	4	2	3	4	4	4	3	3	3	3	3	3
107	1	2	1	1	4	4	4	4	4	4	4	3	3	5	4	2	3	4	3	5	3	3	3	3	3	4	3	4	3	4
108	2	2	1	1	5	4	4	5	4	4	4	4	2	4	3	4	4	4	4	3	4	4	4	4	4	4	4	5	5	4
109	1	2	1	1	4	2	3	3	4	3	2	3	2	3	3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
110	2	1	3	4	2	1	1	2	4	3	4	4	4	5	5	4	4	4	2	3	3	4	4	4	4	5	5	5	5	4
111	1	1	1	2	3	2	3	2	3	3	2	2	2	4	2	3	3	3	4	2	3	4	4	3	3	4	4	4	4	4
112	1	1	3	2	1	3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4
113	2	2	2	2	4	2	3	2	2	3	2	2	2	4	3	2	2	4	4	2	3	4	3	4	4	4	4	4	4	4
114	1	1	1	2	3	5	4	3	4	4	3	3	3	5	2	4	4	4	3	4	2	2	4	!	4	4	4	3	4	3
115	1	1	3	3	2	2	2	1	1	1	1	1	1	1	1	1	5	1	5	5	3	1	5	5	5	5	5	5	5	5
116	1	2	2	1	4	3	4	4	3	4	3	3	3	3	4	4	4	4	3	4	4	4	3	4	3	4	3	3	4	4
117	1	2	3	2	4	4	3	3	2	2	2	2	1	3	1	1	4	4	1	2	5	4	4	5	5	5	5	4	4	5
118	2	1	3	2	3	4	2	4	3	1	4	4	2	2	4	4	4	3	2	4	1	3	1	3	4	4	4	4	2	3
119	1	1	3	2	4	3	3	4	4	3	3	2	2	3	2	2	4	4	4	2	3	4	4	4	4	4	4	4	4	3
120	2	2	2	2	4	3	4	4	4	2	3	2	2	4	3	3	2	3	4	2	3	4	4	4	4	4	4	4	4	4
121	1	1	3	2	5	4	3	4	4	4	5	5	4	5	5	2	4	4	3	3	5	4	4	4	4	4	5	4	5	5
122	1	1	3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	3	4	3
123	1	1	2	2	3	1	1	2	4	1	1	1	1	1	1	1	3	2	4	2	4	4	3	3	3	3	3	3	4	3
124	1	1	3	2	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	2	1	2	2	2	2	3
125	1	2	3	1	3	2	2	3	2	3	2	2	2	3	3	2	4	3	4	2	3	3	3	4	4	4	3	4	3	3
126	1	2	3	1	4	1	1	2	2	2	2	2	2	2	2	2	2	4	2	2	4	4	4	4	4	4	4	4	4	4
127	2	2	3	4	1	3	4	4	3	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	3	4	4	4		4
128	1	1	2	2	3	3	3	2	2	4	3	3	3	2	4	2	3	1	1	5	4	3	4	3	4	2	3	2	3	2
129	1	1	3	3	4	2	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	3	2	3	4	4	2	3	2
130	2	1	3	3	4	2	2	4	4	4	3	3	4	4	4	2	4	4	4	2	4	3	3	4	4	4	4	4	4	4
131	2	1	3	3	4	3	4	3	2	2	3	3	2	3	2	2	4	3	4	3	4	4	4	4	4	4	4	4	4	4
132	2	1	3	3	2	2	3	4	4	3	4	3	4	3	3	2	3	4	4	4	3	4	2	4	4	4	4	5	4	4
133	1	2	2	2	4	4	4	3	3	2	3	3	3	4	4	3	2	3	2	4	4	4	4	4	2	4	4	4	4	3
134	1	2	3	2	4	2	3	4	5	4	4	3	5	4	4	5	2	1	1	5	3	4	3	3	4	4	4	4	4	4
135	1	2	3	2	3	2	4	3	4	4	2	2	3	4	2	2	3	2	4	2	3	4	4	4	4	4	3	3	3	3
136	1	2	3	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	5	4	4	4	4	4	4	4	4	4
137	1	2	2	1	3	4	3	4	4	4	4	4	3	4	4	3	4	3	4	2	4	4	2	3	3	4	4	4	3	3
138	1	1	2	2	4	3	4	4	4	2	2	2	2	4	2	3	4	4	2	3	3	4	4	4	3	4	4	4	3	3
139	2	2	3	1	3	2	4	4	4	3	3	2	2	3	3	2	4	4	4	4	4	4	4	3	4	4	4	4	4	4
140	1	1	2	2	4	4	4	3	4	4	2	2	3	5	3	3	4	4	2	2	3	3	3	3	4	4	4	4	3	4
141	1	2	3	1	3	4	2	3	4	5	4	3	2	2	2	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3
142	1	1	3	2	4	2	3	1	2	2	p	2	1	3	2	1	4	4	5	4	3	4	4	4	5	5	5	5	5	3
143	1	2	2	3	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
144	1	1	2	2	4	2	2	2	1	2	1	2	2	2	1	1	4	2	4	2	4	5	3	4	4	4	5	4	5	4
145	1	1	2	3	3	3	5	2	3	4	2	2	1	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
146	3	1	2	4	4	3	4	2	4	4	4	4	2	4	4	2	4	3	4	3	3	3	3	3	3	3	3	3	3	3
147	1	2	1	1	2	2	3	2	4	2	3	2	2	4	2	2	3	3	4	2	3	4	3	3	3	3	4	4	4	4
148	1	2	2	1	2	3	3	3	3	3	4	4	4	4	4	3	4	4	4	4	5	3	3	3	3	3	3	3	3	3
149	1	2	2	2	1	4	4	4	5	5	5	5	5	5	5	5	5	2	2	3	4	3	1	1	1	5	4	3	4	4
150	1	1	2	2	5	2	4	4	5	5	4	4	2	3	4	2	4	4	5	1	4	4	4	4	4	4	5	2	4	4
151	1	1	3	2	5	2	2	3	4	4	4	2	2	3	2	2	4	4	5	2	4	4	4	4	4	4	4	4	4	3
152	1	2	2	2	4	2	2	4	4	4	4	4	4	3	4	4	2	4	2	5	4	4	4	3	3	4	4	3	4	4
153	2	2	3	3	5	5	2	3	4	4	3	3	3	5	5	4	3	4	2	4	3	4	4	4	4	4	4	4	4	4
154	2	2	3	3	4	5	3	2	3	2	2	2	2	3	2	2	4	2	4	2	4	4	4	4	4	4	4	4	4	4
155	2	2	3	4	3	2	2	4	4	4	3	4	4	4	3	4	2	4	2	4	3	4	4	3	4	4	3	3	3	3
156	2	1	3	4	5	5	5	2	2	1	1	1	1	4	2	1	4	4	3	2	4	4	4	4	5	5	4	4	4	4
157	5	2	3	4	2	2	2	2	4	2	2	2	1	2	1	1	5	1	4	2	5	5	5	4	5	5	4	4	4	4
158	3	1	2	4	4	4	4	4	5	4	2	3	2	4	2	2	5	2	5	4	4	4	2	1	1	4	2	3	2	2
159	2	2	3	2	3	2	4	4	4	3	3	3	4	3	4	2	3	4	2	4	4	3	3	4	4	4	4	4	4	4
160	1	1	3	3	2	2	2	2	2	2	2	2	4	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
161	2	2	3	1	5	4	4	5	5	5	4	5	5	5	4	4	4	5	2	4	3	3	3	3	3	4	4	4	4	3
162	1	1	1	2	3	4	4	3	3	4	4	4	4	5	3	3	3	4	4	4	4	4	4	4	4	4	3	4	4	4
163	1	1	2	1	2	5	5	1	5	5	4	1	1	1	1	4	2	3	3	3	1	4	1	1	5	1	2	3	4	4
164	1	1	3	2	2	3	4	2	1	4	5	3	2	3	4	2	1	4	5	4	3	3	2	4	5	1	3	4	1	1
165	2	1	3	3	5	2	5	4	3	2	2	2	2	3	3	2	4	2	4	3	3	4	4	3	3	4	4	4	4	4
166	2	1	3	4	4	3	5	3	4	1	3	4	2	5	2	2	5	4	4	4	4	4	4	3	4	4	3	3	5	4
167	2	1	3	4	5	3	5	5	5	3	4	4	4	4	3	5	5	5	4	3	4	4	3	5	5	4	5	5	5	5
168	1	1	3	3	4	5	4	4	4	4	4	4	5	5	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4
169	2	1	3	3	4	4	4	2	5	4	3	2	2	4	2	4	3	4	2	2	4	5	5	4	4	4	4	4	5	3
170	1	1	3	3	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
171	2	1	3	4	4	4	4	4	4	4	3	3	2	3	4	2	4	4	2	4	4	4	4	4	4	4	4	4	4	4
172	2	2	2	3	2	2	2	2	2	2	2	2	2	2	4	2	4	4	4	4	3	2	2	4	4	4	2	4	4	4
173	1	2	3	2	4	3	4	5	4	3	3	3	3	4	4	3	3	4	2	4	2	3	3	3	3	4	3	3	3	3
174	1	1	3	2	3	2	3	3	2	1	2	1	1	5	3	1	4	2	4	4	4	4	5	4	5	5	4	3	5	4
175	2	1	2	2	3	2	2	4	3	2	2	2	2	2	4	3	4	2	3	3	3	3	2	2	2	2	2	2	2	3
176	1	2	2	2	3	2	4	4	4	4	4	4	2	3	3	3	2	3	2	2	3	3	3	3	4	3	3	3	3	4
177	2	1	3	3	3	1	2	4	4	1	3	2	3	2	1	3	4	5	4	2	3	2	2	2	3	4	4	4	4	4
178	1	1	3	2	4	3	4	3	2	2	1	2	1	4	2	2	1	2	3	2	4	3	3	4	4	3	1	3	4	2
179	1	2	2	1	3	3	3	4	3	3	3	4	4	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3
180	3	2	3	4	4	3	3	2	4	2	2	2	2	4	2	2	4	2	2	2	4	4	4	4	4	4	4	4	4	4
181	2	2	3	2	4	4	2	2	4	2	2	2	2	4	2	2	4	3	4	2	4	4	4	4	4	4	4	4	4	4
182	1	1	3	2	4	4	5	4	3	4	2	2	3	4	3	3	3	3	4	4	4	4	4	4	4	4	3	4	4	4
183	1	1	3	2	2	3	4	2	1	4	5	3	2	3	4	2	1	4	5	4	3	3	2	4	5	1	3	4	1	1
184	1	1	1	2	3	3	3	2	4	2	2	3	5	5	4	1	2	5	4	2	1	3	4	5	4	2	3	4	1	5
185	1	2	3	2	3	3	3	3	3	3	4	3	3	3	3	2	4	3	4	3	3	4	3	3	4	3	4	4	3	3
186	1	2	1	1	4	2	4	5	2	2	2	3	2	5	3	5	1	4	5	5	4	4	2	1	5	4	4	4	1	1
187	2	4	4	4	1	2	4	4	3	2	2	1	1	3	1	2	2		2	3	4	4	5	5	5	5	4	2	4	3
188	1	2	3	2	1	4	4	4	4	4	4	5	4	5	5	5	5	5	5	5	3	5	5	4	4	3	2	1	2	2
189	1	1	3	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	5	4	4
190	2	2	4	2	2	1	2	4	4	4	3	4	4	4	4	4	4	3	5	4	2	2	2	2	2	2	1	1	1	4
191	1	1	1	1	2	3	1	3	4	3	3	1	1	1	3	3	3	1	1	4	3	4	3	3	3	2	3	3	1	2
192	1	1	1	1	1	2	3	3	4	5	3	3	3	3	1	1	2	3	1	2	4	4	3	3	1	3	3	2	4	4
193	1	1	2	2	5	5	5	3	5	4	4	2	1	4	3	3	2	3	3	2	5	5	3	5	3	3	3	4	5	5
194	1	2	3	2	4	3	4	3	2	3	3	-4	4	4	2	2	2	2	3	5	3	2	3	4	4	3	4	3	4	3
195	1	1	1	3	4	5	5	5	2	2	2	2	2	2	2	3	5	3	4	1	4	4	3	5	5	4	5	5	5	4
196	2	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	2	5	5	5	5	5	5	5	5	5	5
197	1	2	3	3	5	5	5	4	5	5	4	4	5	5	5	5	4	5	4	4	4	2	4	2	3	3	4	4	4	4
198	2	1	4	3	2	3	4	4	1	4	4	4	3	2	4	3	4	3	4	4	4	4	2	3	5	3	3	3	4	3
199	1	2	2	1	5	2	4	4	2	2	4	4	2	4	4	2	3	4	4	4	4	4	4	5	5	5	5	5	5	5
200	1	2	3	3	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
201	1	2	2	2	4	4	4	5	5	5	5	5	5	5	5	5	4	2	4	2	4	4	4	4	4	4	4	4	4	4
202	2	1	3	3	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	4	5	5	5	5	5	5	5
